lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.682	35.962	82.33	4.9	2.6	1.9	deepHinduKush
70.849	36.291	82.34	2.5	5.8	1.9	deepHinduKush
70.889	36.005	82.35	3.1	3.7	1.9	deepHinduKush
69.603	36.001	82.36	3.5	4.0	-	deepHinduKush
71.155	36.515	82.38	2.6	6.1	1.9	deepHinduKush
71.505	36.707	82.40	2.9	4.7	1.9	deepHinduKush
71.385	36.426	82.43	3.0	2.5	1.9	deepHinduKush
71.078	36.215	82.52	3.6	3.6	1.9	deepHinduKush
71.171	36.446	82.52	2.9	4.4	1.9	deepHinduKush
69.668	36.028	82.54	3.4	4.5	1.9	deepHinduKush
68.950	36.240	82.55	5.2	5.5	-	deepHinduKush
71.197	36.039	82.58	2.5	16.1	-	deepHinduKush
71.021	36.473	82.71	3.3	4.8	1.9	deepHinduKush
70.982	36.405	82.74	3.0	4.9	-	deepHinduKush
71.390	36.594	82.83	4.0	2.6	1.9	deepHinduKush
70.107	36.153	82.87	2.3	4.9	1.9	deepHinduKush
70.117	36.109	82.93	2.4	6.5	1.9	deepHinduKush
70.854	36.270	82.98	3.1	5.0	1.9	deepHinduKush
70.861	36.269	83.00	3.1	3.4	1.9	deepHinduKush
71.275	36.515	83.01	4.3	2.6	1.9	deepHinduKush
71.206	36.535	83.05	2.9	7.3	1.9	deepHinduKush
71.260	36.309	83.11	3.7	2.7	1.9	deepHinduKush
